,State,Agency Type,City,Population1,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Crimes Against Persons,Kidnapping/ Abduction,Sex Offenses,"Sex Offenses, Nonforcible",Burglary/ Breaking & Entering,Destruction/ Damage/ Vandalism,Fraud Offenses,Credit Card/ Automated Teller Machine Fraud,Theft From Building,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Violations,Weapon Law Violations
84,ARKANSAS,Cities,Lepanto,1895.0,31,103.0,15.0,27,1.0,3.0,2.0,24.0,12.0,5.0,2.0,3.0,1.0,3.0,6.0,10.0,4.0
85,ARKANSAS,Cities,Lewisville,1272.0,7,40.0,7.0,6,2.0,1.0,2.0,10.0,5.0,1.0,1.0,13.0,6.0,3.0,3.0,4.0,1.0
86,ARKANSAS,Cities,Lincoln,2308.0,21,58.0,7.0,20,1.0,6.0,2.0,18.0,7.0,1.0,1.0,8.0,6.0,3.0,3.0,5.0,4.0
87,ARKANSAS,Cities,Little Flock,2667.0,32,43.0,15.0,29,2.0,3.0,2.0,4.0,8.0,4.0,2.0,8.0,3.0,3.0,2.0,4.0,2.0
88,ARKANSAS,Cities,Little Rock,196055.0,"11,135",19487.0,1516.0,"10,888",53.0,149.0,2.0,4226.0,1213.0,877.0,644.0,54.0,1133.0,814.0,169.0,629.0,240.0
89,ARKANSAS,Cities,Lonoke,4319.0,135,311.0,62.0,133,1.0,1.0,2.0,40.0,55.0,10.0,9.0,15.0,3.0,2.0,4.0,35.0,7.0
90,ARKANSAS,Cities,Lowell,7565.0,67,319.0,52.0,62,3.0,2.0,2.0,55.0,59.0,8.0,6.0,33.0,13.0,1.0,1.0,26.0,6.0
91,ARKANSAS,Cities,Luxora,1169.0,7,13.0,0.0,7,2.0,6.0,2.0,2.0,7.0,13.0,6.0,13.0,6.0,3.0,3.0,25.0,4.0
92,ARKANSAS,Cities,Magnolia,11554.0,123,548.0,53.0,118,1.0,3.0,1.0,157.0,49.0,31.0,6.0,45.0,24.0,4.0,2.0,40.0,5.0
93,ARKANSAS,Cities,Marianna,4084.0,63,205.0,7.0,63,2.0,6.0,2.0,69.0,4.0,1.0,1.0,7.0,9.0,6.0,3.0,4.0,3.0
94,ARKANSAS,Cities,Marion,12300.0,423,814.0,86.0,406,7.0,9.0,1.0,178.0,154.0,39.0,12.0,36.0,23.0,10.0,8.0,48.0,17.0
95,ARKANSAS,Cities,Marmaduke,1132.0,32,85.0,18.0,30,2.0,2.0,2.0,21.0,10.0,13.0,6.0,14.0,1.0,3.0,3.0,14.0,4.0
96,ARKANSAS,Cities,Maumelle,17391.0,183,525.0,238.0,178,1.0,3.0,2.0,52.0,81.0,29.0,17.0,6.0,8.0,5.0,14.0,138.0,8.0
97,ARKANSAS,Cities,Mayflower,2307.0,31,108.0,52.0,29,2.0,2.0,2.0,24.0,6.0,10.0,7.0,19.0,6.0,1.0,3.0,29.0,4.0
98,ARKANSAS,Cities,McGehee,4157.0,139,295.0,20.0,130,5.0,4.0,2.0,47.0,75.0,19.0,16.0,80.0,5.0,3.0,2.0,10.0,6.0
99,ARKANSAS,Cities,McRae,696.0,22,49.0,0.0,20,2.0,2.0,2.0,13.0,8.0,1.0,6.0,7.0,6.0,3.0,3.0,25.0,4.0
